code,accuracy
lu,0.7639097744360902
no,0.7962708182476467
si,0.7620704654197478
sk,0.9250837162214781
cz,0.8485231283670815
ee,0.8157894736842105
mt,0.7777777777777778
dk,0.8518841211065128
cy,0.7242152466367713
at,0.8284344644884571
be,0.8397147658627424
lt,0.818744053282588
pl,0.6891358355582586
gr,0.8087795144662454
se,0.865686274509804
de,0.8347599808258577
hu,0.7986812570145904
nl,0.8776041666666666
lv,0.760857908847185
gb,0.8412979434592941
pt,0.7625594923320994
bg,0.7945534641569884
fi,0.7651749583432516
ie,0.8575031525851198
es,0.7571367884451997
ch,0.728955940339448
it,0.7375077042481795
fr,0.7649235368098719
ro,0.8184632192279679
hr,0.6777429467084639
